pm10,pm25,so2,co,o3,no2,target
54,72,52,9,58,13,1
60,82,53,11,54,22,1
66,95,54,13,51,30,1
81,112,55,16,54,28,2
79,109,54,12,46,22,2
82,112,56,12,41,27,2
82,113,53,13,40,28,2
69,97,52,12,53,24,1
90,117,54,12,81,29,2
64,92,48,8,22,18,1
60,84,47,7,23,18,1
80,124,45,10,28,17,2
86,132,44,9,28,14,2
67,105,46,7,38,15,2
68,102,44,7,32,16,2
73,109,48,8,31,17,2
71,110,50,6,33,16,2
79,119,51,7,34,17,2
67,97,51,4,31,14,1
60,80,47,5,21,14,1
62,99,50,8,25,18,1
66,94,45,6,23,15,1
80,126,49,9,28,23,2
84,123,49,7,29,16,2
70,102,49,5,31,14,2
79,121,49,5,33,16,2
80,122,48,4,33,17,2
77,110,45,5,25,18,2
54,81,45,4,19,13,1
57,79,49,5,22,20,1
63,91,46,5,38,16,1
51,73,45,4,29,12,1
68,102,47,6,32,17,2
69,103,49,6,28,17,2
64,96,50,11,30,15,1
76,124,49,18,26,20,2
73,28,47,17,26,18,1
75,29,51,14,43,21,1
57,26,9,18,31,29,1
62,114,37,13,23,27,2
59,108,40,10,18,23,2
72,141,37,13,25,20,2
84,161,38,14,27,22,2
83,153,39,13,31,26,2
58,100,38,9,31,22,1
69,130,40,12,26,26,2
74,145,40,10,29,25,2
87,156,42,11,30,25,2
71,132,45,9,29,21,2
66,119,39,10,21,17,2
67,119,39,11,20,23,2
57,116,39,13,20,26,2
95,174,40,15,22,24,2
71,138,37,11,24,29,2
73,134,35,9,26,19,2
75,150,37,12,32,22,2
74,140,36,11,32,21,2
80,147,38,13,26,21,2
55,102,36,9,30,18,2
57,110,39,9,28,26,2
56,104,36,10,35,25,2
56,104,37,12,27,25,2
81,148,38,22,28,24,2
68,131,39,14,24,25,2
71,140,40,12,24,26,2
73,145,39,14,24,27,2
66,130,40,12,25,25,2
83,154,39,15,37,34,2
56,100,38,9,29,22,1
54,88,31,12,17,28,1
56,90,29,23,11,51,1
60,103,31,13,20,27,2
73,126,32,13,26,25,2
66,115,35,11,36,20,2
52,80,32,8,32,23,1
60,101,36,10,31,23,2
62,108,37,10,30,23,2
65,113,40,11,34,22,2
55,85,42,6,26,17,1
46,70,40,6,18,13,1
39,58,28,6,14,14,1
59,102,42,11,19,26,2
51,82,38,9,20,26,1
75,129,35,14,26,26,2
70,114,33,11,30,22,2
57,89,32,8,32,19,1
67,115,33,13,34,27,2
61,108,28,9,38,20,2
70,112,32,14,24,21,2
49,80,31,8,18,19,1
51,85,37,9,22,27,1
53,85,30,8,27,25,1
49,83,27,11,23,32,1
77,131,28,24,27,42,2
66,116,29,16,24,31,2
64,110,32,13,29,35,2
70,130,33,17,28,45,2
78,140,32,18,29,39,2
75,121,37,12,50,21,2
53,80,29,6,34,13,1
51,68,25,8,29,22,1
47,63,24,10,25,28,1
50,68,26,11,19,35,1
52,70,29,8,24,26,1
52,66,29,9,21,27,1
56,73,28,15,11,28,1
55,71,31,7,18,18,1
53,69,33,6,23,16,1
52,60,30,6,25,15,1
32,50,25,7,29,16,0
55,73,25,10,24,25,1
55,70,28,8,20,19,1
56,75,28,10,17,28,1
65,92,30,15,24,36,1
56,72,31,8,17,20,1
53,70,30,8,17,19,1
56,77,28,13,26,22,1
59,78,25,11,27,26,1
60,89,31,15,24,35,1
58,84,29,11,32,34,1
59,80,25,13,26,35,1
59,81,28,14,25,28,1
56,77,28,10,25,27,1
59,87,27,12,32,30,1
62,89,26,12,34,34,1
56,77,27,10,22,33,1
62,89,30,11,25,31,1
65,93,26,11,40,27,1
65,96,28,12,30,29,1
79,112,27,17,39,41,2
64,86,27,12,35,33,1
55,75,50,9,67,13,1
52,69,50,10,59,16,1
61,85,53,12,47,25,1
64,89,53,9,50,14,1
61,79,55,9,58,18,1
76,100,58,17,38,31,1
63,79,53,8,48,16,1
60,78,53,9,57,12,1
56,67,52,8,57,10,1
36,53,48,8,55,9,1
58,83,50,10,59,17,1
65,88,52,10,47,18,1
58,79,51,10,49,19,1
69,94,53,11,53,21,1
63,84,53,9,46,16,1
60,80,54,9,42,17,1
62,84,51,9,40,14,1
59,83,51,9,42,17,1
72,101,55,13,26,36,2
73,97,55,12,34,30,1
60,87,51,10,29,21,1
71,100,52,13,25,26,1
63,86,52,9,33,13,1
69,101,52,9,41,18,2
69,98,51,11,38,24,1
61,84,51,9,26,18,1
63,90,52,10,32,21,1
76,104,51,10,41,22,2
68,97,52,10,30,16,1
79,110,52,12,38,29,2
74,96,51,10,48,19,1
51,66,44,9,31,11,1
48,65,47,10,29,12,1
45,66,48,9,30,13,1
56,82,51,8,27,14,1
52,82,51,11,23,15,1
52,77,42,16,19,18,1
59,84,45,10,23,14,1
57,84,47,9,26,13,1
53,69,45,7,25,10,1
36,54,41,6,27,12,1
61,88,44,12,30,14,1
54,73,46,7,32,11,1
61,91,46,11,29,16,1
69,102,45,14,29,16,2
57,84,45,12,22,15,1
53,79,48,9,24,15,1
60,88,45,11,30,13,1
58,86,43,10,35,11,1
68,104,45,14,27,14,2
57,83,46,10,29,14,1
53,80,44,10,33,15,1
58,88,49,14,29,18,1
66,100,46,13,31,17,1
66,100,46,11,32,15,1
57,81,44,10,33,11,1
54,82,46,9,30,15,1
62,92,47,9,31,13,1
63,94,46,10,42,17,1
