NAMA DESA;IKS;IKE;IKL;IDM;Status
KUMELANG;0,36;0,25;0,6;0,4033;0
MISING;0,4343;0,2667;0,6;0,4337;0
NEKAN;0,4;0,15;0,6667;0,4056;0
SELOR;0,5886;0,2333;0,8667;0,5629;1
SUMBAWA;0,4229;0,2;0,6;0,4076;0
TAA;0,3543;0,1833;0,6;0,3792;0
UNDUR;0,4229;0,1833;0,6;0,4021;0
AMARSEKARU;0,6057;0,4167;0,6667;0,563;1
AREWANG;0,6057;0,3667;0,6667;0,5463;1
AROA KATALOKA;0,5543;0,4833;0,6;0,5459;1
BUAN KATALOKA;0,6914;0,3833;0,6;0,5583;1
DADA KATALOKA;0,6343;0,4833;0,6;0,5725;1
DAY;0,7086;0,4167;0,6667;0,5973;1
ILILI;0,6286;0,4167;0,6667;0,5706;1
KAFORING;0,6114;0,3833;0,6;0,5316;1
KELIBINGAN;0,5714;0,4333;0,6667;0,5571;1
KILALIR KILWOUW;0,5943;0,3833;0,6667;0,5481;1
KILEAN;0,5429;0,35;0,6667;0,5198;1
KILOTAK;0,6171;0,4167;0,6667;0,5668;1
LOKO;0,4971;0,35;0,6667;0,5046;1
MIDA;0,6686;0,4167;0,6667;0,584;1
RUMANAMA KOTAWOUW KATALOKA;0,6914;0,4667;0,6;0,586;1
RUMEON;0,7486;0,2833;0,6667;0,5662;1
SERA;0,5086;0,3167;0,6667;0,4973;1
SIKARO KATALOKA;0,6686;0,3833;0,6667;0,5729;1
USUN KATALOKA;0,68;0,5;0,6;0,5933;1
ARGAM;0,52;0,5333;0,6667;0,5733;1
LALASA;0,64;0,4333;0,6667;0,58;1
MAGAT;0,5829;0,2833;0,6667;0,511;1
PERIK BASARANGGI;0,6571;0,3333;0,6667;0,5524;1
PULAU PANJANG;0,6514;0,4;0,6;0,5505;1
RUKU RUKU;0,6114;0,3167;0,6667;0,5316;1
AINENA;0,5086;0,2833;0,6667;0,4862;0
AKATFADEDO;0,3771;0,2833;0,6667;0,4424;0
GULI-GULI;0,6629;0,2667;0,8667;0,5987;1
KELLU;0,5371;0,3833;0,6667;0,529;1
KILFURA;0,6857;0,2167;0,6667;0,523;1
KILTAY;0,6971;0,2167;0,6667;0,5268;1
KILWARU;0,5314;0,3333;0,6667;0,5105;1
KWAWOR BESAR ENA;0,6286;0,3833;0,6667;0,5595;1
KWAWOR BESAR WITAU;0,6457;0,3833;0,6;0,543;1
KWAWOR KECIL MATA ATA;0,52;0,3667;0,6667;0,5178;1
KWAWOR KECIL MATA WAWA;0,5143;0,35;0,6667;0,5103;1
MANGGIS;0,6171;0,3333;0,6667;0,539;1
MUGUSINIS;0,52;0,35;0,6667;0,5122;1
URUNG;0,7086;0,3833;0,6667;0,5862;1
AIR NANANG;0,6171;0,3333;0,6667;0,539;1
KETA;0,6286;0,3333;0,6;0,5206;1
KETA RUMADAN;0,6514;0,3;0,6667;0,5394;1
KUWAOS;0,5829;0,35;0,6;0,511;1
LIAN TASIK;0,6114;0,3333;0,6667;0,5371;1
SALAGOR KOTA;0,7086;0,2667;0,6;0,5251;1
ABULATE;0,6114;0,4333;0,6667;0,5705;1
ADABAI;0,5371;0,3833;0,6667;0,529;1
ATIAHU;0,6171;0,4333;0,6667;0,5724;1
DIHIL;0,5943;0,4;0,6667;0,5537;1
ELNUSA;0,6857;0,2667;0,6667;0,5397;1
LAPELA;0,5943;0,4167;0,6667;0,5592;1
